Species,PriceCateg,Weight,Length
Salmo obtusirostris,very high,NA,70
Salmo trutta,very high,50000,140
Salmo salar,very high,46764,150
Arripis truttacea,unknown,10500,96
Arripis trutta,very high,9400,89
Salmo salar,very high,46764,150
Leptobrama muelleri,unknown,NA,37.5
Leptobrama muelleri,unknown,NA,37.5
Gonorynchus gonorynchus,unknown,NA,60
Gonorynchus greyi,unknown,NA,50
Salmo salar,very high,46764,150
Rachycentron canadum,high,68000,200
Salmo labrax,very high,NA,80
Arripis truttacea,unknown,10500,96
Arripis trutta,very high,9400,89
Narcetes stomias,unknown,NA,57.5
Polydactylus macrochir,very high,45000,170
Eleutheronema tetradactylum,high,145000,200
Neoarius graeffei,medium,NA,60
Oncorhynchus nerka,very high,7710,84
Eleutheronema tetradactylum,high,145000,200
Eleutheronema tetradactylum,high,145000,200
Chanos chanos,unknown,14000,180
Arripis truttacea,unknown,10500,96
Arripis trutta,very high,9400,89
Neoceratodus forsteri,unknown,40000,170
Eleutheronema tetradactylum,high,145000,200
Polydactylus macrochir,very high,45000,170
Oncorhynchus keta,medium,15870,100
Atractoscion aequidens,medium,25000,130
Salmo salar,very high,46764,150
Salmo ciscaucasicus,NA,9000,130
Oncorhynchus masou,high,10000,79
Oncorhynchus formosanus,very high,NA,30
Oncorhynchus tshawytscha,very high,61400,150
Oncorhynchus tshawytscha,very high,61400,150
Oncorhynchus keta,medium,15870,100
Oncorhynchus keta,medium,15870,100
Arripis truttacea,unknown,10500,96
Arripis truttacea,unknown,10500,96
Arripis trutta,very high,9400,89
Oncorhynchus kisutch,medium,15170,107.95
Oncorhynchus kisutch,medium,15170,107.95
Eleutheronema tetradactylum,high,145000,200
Arripis truttacea,unknown,10500,96
Arripis trutta,very high,9400,89
Salmo salar,very high,46764,150
Eleutheronema tetradactylum,high,145000,200
Merluccius merluccius,high,15000,140
Argyrosomus japonicus,medium,75000,181
Hucho hucho,very high,52000,150
Hucho taimen,very high,105000,200
Squalus acanthias,medium,9100,95
Scleropages leichardti,unknown,NA,100
Oncorhynchus keta,medium,15870,100
Arripis trutta,very high,9400,89
