Species,PriceCateg,Weight,Length
Aapticheilichthys websteri,NA,NA,3.08
Aaptosyax grypus,unknown,30000,130
Abactochromis labrosus,unknown,NA,11.5
Abalistes filamentosus,medium,1375,32.5
Abalistes stellaris,medium,NA,60
Abalistes stellatus,medium,NA,60
Abbottina binhi,unknown,NA,NA
Abbottina lalinensis,NA,NA,NA
Abbottina liaoningensis,unknown,NA,6.6
Abbottina obtusirostris,unknown,13.5,10.9
Abbottina rivularis,unknown,NA,18.9
Ablabys binotatus,unknown,NA,15
Ablabys macracanthus,unknown,NA,20
Ablabys taenianotus,unknown,NA,15
Ablennes hians,high,4800,140
Aboma etheostoma,very high,NA,3.4
Aborichthys cataracta,NA,NA,9.26
Aborichthys elongatus,unknown,NA,7.4
Aborichthys garoensis,unknown,NA,8.95
Aborichthys kempi,unknown,NA,8.1
Aborichthys rosammai,NA,NA,NA
Aborichthys tikaderi,unknown,NA,10.9
Aborichthys verticauda,NA,NA,7.75
Aborichthys waikhomi,NA,NA,6.8
Abramis brama,unknown,6010,82
Abramites eques,unknown,151,18.5
Abramites hypselonotus,unknown,NA,14
Abudefduf abdominalis,unknown,NA,30
Abudefduf bengalensis,unknown,NA,17
Abudefduf concolor,unknown,NA,19
Abudefduf conformis,unknown,NA,13.1
Abudefduf declivifrons,unknown,NA,18
Abudefduf hoefleri,unknown,NA,20
Abudefduf lorenzi,unknown,NA,18
Abudefduf margariteus,unknown,NA,16
Abudefduf natalensis,unknown,NA,17
Abudefduf notatus,unknown,NA,17
Abudefduf saxatilis,unknown,200,22.9
Abudefduf septemfasciatus,unknown,NA,23
Abudefduf sexfasciatus,unknown,NA,19
Abudefduf sordidus,unknown,NA,24
Abudefduf sparoides,unknown,NA,16
Abudefduf taurus,unknown,NA,25
Abudefduf troschelii,unknown,NA,20
Abudefduf vaigiensis,unknown,NA,20
Abudefduf whitleyi,unknown,NA,14
Abyssoberyx levisquamosus,NA,NA,16.8
Abyssobrotula galatheae,NA,NA,16.5
Abyssocottus elochini,unknown,NA,NA
Abyssocottus gibbosus,unknown,NA,14
Abyssocottus korotneffi,unknown,NA,12.6
Acanthaluteres brownii,unknown,NA,55
Acanthaluteres spilomelanurus,unknown,NA,14
Acanthaluteres vittiger,unknown,NA,35
Acanthanectes hystrix,unknown,NA,3.5
Acanthanectes rufus,unknown,NA,3.55
Acanthaphritis barbata,unknown,NA,10
Acanthaphritis grandisquamis,unknown,NA,NA
Acanthaphritis ozawai,unknown,NA,10.8
Acanthaphritis unoorum,unknown,NA,NA
Acantharchus pomotis,unknown,NA,21
Acanthemblemaria aspera,unknown,NA,4
Acanthemblemaria atrata,unknown,NA,3.2
Acanthemblemaria balanorum,unknown,NA,5.19
Acanthemblemaria betinensis,unknown,NA,4.3
Acanthemblemaria castroi,unknown,NA,6
Acanthemblemaria chaplini,unknown,NA,4.5
Acanthemblemaria crockeri,unknown,NA,6
Acanthemblemaria exilispinus,unknown,NA,5.5
Acanthemblemaria greenfieldi,unknown,NA,3.6
Acanthemblemaria hancocki,unknown,NA,4.5
Acanthemblemaria harpeza,unknown,NA,NA
Acanthemblemaria hastingsi,NA,NA,5.1
Acanthemblemaria johnsoni,unknown,NA,2
Acanthemblemaria macrospilus,unknown,NA,6
Acanthemblemaria mangognatha,unknown,NA,3.09
